table_name,column_name,data_type,new_column_name,ordinal_position,is_pk
orders,order_id,int,order_id,1,TRUE
orders,account_id,int,account_id,2,FALSE
orders,bank_to,varchar(1023),bank_to,3,FALSE
orders,account_to,int,account_to,4,FALSE
orders,amount,decimal,amount,5,FALSE
orders,k_symbol,varchar(1023),k_symbol,6,FALSE
cards,card_id,int,card_id,1,TRUE
cards,disp_id,int,disp_id,2,FALSE
cards,type,varchar(1023),type,3,FALSE
cards,issued,varchar(1023),issued,4,FALSE
loans,loan_id,int,loan_id,1,TRUE
loans,account_id,int,account_id,2,FALSE
loans,date,int,date,3,FALSE
loans,amount,int,amount,4,FALSE
loans,duration,int,duration,5,FALSE
loans,payments,decimal,payments,6,FALSE
loans,status,varchar(1023),status,7,FALSE
transactions,trans_id,int,trans_id,1,TRUE
transactions,account_id,int,account_id,2,FALSE
transactions,date,date,date,3,FALSE
transactions,type,varchar(1023),type,4,FALSE
transactions,operation,varchar(1023),operation,5,FALSE
transactions,amount,decimal,amount,6,FALSE
transactions,balance,decimal,balance,7,FALSE
transactions,k_symbol,varchar(1023),k_symbol,8,FALSE
transactions,bank,varchar(1023),bank,9,FALSE
transactions,account,decimal,account,10,FALSE
districts,A1,int,district_id,1,TRUE
districts,A2,varchar(1023),district_name,2,FALSE
districts,A3,varchar(1023),region,3,FALSE
districts,A4,int,total_population,4,FALSE
districts,A5,int,small_municipalities,5,FALSE
districts,A6,int,medium_municipalities,6,FALSE
districts,A7,int,large_municipalities,7,FALSE
districts,A8,int,metropolitan_municipalities,8,FALSE
districts,A9,int,total_cities,9,FALSE
districts,A10,decimal,urbanization_rate,10,FALSE
districts,A11,int,average_income,11,FALSE
districts,A12,varchar(1023),unemployment_rate_1995,12,FALSE
districts,A13,decimal,unemployment_rate_1996,13,FALSE
districts,A14,int,entrepreneurship_rate,14,FALSE
districts,A15,varchar(1023),crime_rate_1995,15,FALSE
districts,A16,int,crime_rate_1996,16,FALSE
disps,disp_id,int,disp_id,1,TRUE
disps,client_id,int,client_id,2,FALSE
disps,account_id,int,account_id,3,FALSE
disps,type,varchar(1023),type,4,FALSE
accounts,account_id,int,account_id,1,TRUE
accounts,district_id,int,district_id,2,FALSE
accounts,frequency,varchar(1023),frequency,3,FALSE
accounts,date,int,date,4,FALSE
clients,client_id,int,client_id,1,TRUE
clients,district_id,int,district_id,2,FALSE
clients,gender,varchar(7),gender,3,FALSE
clients,dob,varchar(15),dob,4,FALSE
